año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto,id
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,2.0,2.0,1.0,3.0,2.0,864563.7,67
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,2.0,2.0,3.0,3.0,1.0,676511.91,68
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,2.0,2.0,4.0,3.0,2.0,1276080.33,69
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,2.0,2.0,5.0,3.0,1.0,1168906.6,70
2024,1,21.0,Puebla,34.0,Coronango,1,1,2,1,2.0,3.0,3.0,3.0,1.0,716230.3,71
2024,1,21.0,Puebla,34.0,Coronango,1,2,1,2,1.0,2.0,0.0,0.0,1.0,139109.0,72
2024,1,21.0,Puebla,34.0,Coronango,1,2,1,2,1.0,2.0,1.0,0.0,2.0,0.0,73
2024,1,21.0,Puebla,34.0,Coronango,1,2,1,2,1.0,2.0,2.0,0.0,1.0,0.0,74
2024,1,21.0,Puebla,34.0,Coronango,1,2,1,2,1.0,2.0,6.0,0.0,1.0,0.0,75
2024,1,21.0,Puebla,34.0,Coronango,1,2,1,2,2.0,2.0,0.0,0.0,1.0,61265.0,76
2024,1,21.0,Puebla,34.0,Coronango,1,2,1,2,2.0,2.0,1.0,0.0,1.0,0.0,77
2024,1,21.0,Puebla,34.0,Coronango,1,3,3,1,1.0,2.0,4.0,3.0,1.0,569687.69,78
2024,1,21.0,Puebla,34.0,Coronango,1,3,3,1,1.0,2.0,6.0,4.0,1.0,1111680.46,79
2024,1,21.0,Puebla,34.0,Coronango,2,1,2,2,2.0,2.0,3.0,4.0,1.0,926010.0,80
2024,1,21.0,Puebla,34.0,Coronango,2,1,2,1,1.0,1.0,5.0,4.0,1.0,1755000.0,81
2024,1,21.0,Puebla,34.0,Coronango,2,1,2,1,1.0,2.0,1.0,3.0,1.0,556000.0,82
2024,1,21.0,Puebla,34.0,Coronango,2,1,2,1,1.0,2.0,2.0,4.0,1.0,1258200.0,83
2024,1,21.0,Puebla,34.0,Coronango,2,1,2,1,1.0,2.0,3.0,4.0,2.0,1904900.0,84
2024,1,21.0,Puebla,34.0,Coronango,2,1,2,1,1.0,2.0,4.0,3.0,1.0,600000.0,85
2024,1,21.0,Puebla,34.0,Coronango,2,1,2,1,2.0,2.0,2.0,4.0,1.0,905989.0,86
2024,1,21.0,Puebla,34.0,Coronango,2,1,2,1,2.0,2.0,3.0,3.0,1.0,881220.0,87
2024,1,21.0,Puebla,34.0,Coronango,2,1,2,1,2.0,3.0,6.0,4.0,1.0,1487395.0,88
2024,1,21.0,Puebla,34.0,Coronango,2,3,3,2,2.0,2.0,2.0,3.0,1.0,499784.0,89
2024,1,21.0,Puebla,34.0,Coronango,2,3,3,2,2.0,2.0,4.0,3.0,1.0,587056.0,90
2024,1,21.0,Puebla,34.0,Coronango,2,3,3,1,1.0,2.0,6.0,3.0,1.0,900000.0,91
2024,1,21.0,Puebla,34.0,Coronango,2,3,3,1,1.0,3.0,4.0,3.0,1.0,810298.0,92
